timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789057992442,56,/,200,OK,Thread Group 1-1,text,true,,2434,352,1,1,http://103.94.135.91:8080/,56,0,20
1789057992498,364,/notices,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 364 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,363,0,0
1789057992865,193,/courses-39,200,OK,Thread Group 1-1,text,true,,44407,403,1,1,http://103.94.135.91:8080/courses,186,0,0
1789057993060,116,/login,200,OK,Thread Group 1-1,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,73,0,0
1789057993060,73,/login-0,303,See Other,Thread Group 1-1,text,true,,514,522,1,1,http://103.94.135.91:8080/login,73,0,0
1789057993138,38,/login-1,200,OK,Thread Group 1-1,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,29,0,0
1789057993179,30,/api/download/256-56,200,OK,Thread Group 1-1,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
1789057993410,58,/,200,OK,Thread Group 1-2,text,true,,2434,352,1,1,http://103.94.135.91:8080/,57,0,15
1789057993470,227,/notices,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 227 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,227,0,0
1789057993699,345,/courses-39,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 345 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,290,0,0
1789057994046,150,/login,200,OK,Thread Group 1-2,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,56,0,0
1789057994046,56,/login-0,303,See Other,Thread Group 1-2,text,true,,514,522,1,1,http://103.94.135.91:8080/login,56,0,0
1789057994104,92,/login-1,200,OK,Thread Group 1-2,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,65,0,0
