timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789057778114,77,/api/download/256-56,200,OK,Thread Group 1-6,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
1789057779318,38,/,200,OK,Thread Group 1-7,text,true,,2434,352,1,1,http://103.94.135.91:8080/,38,0,11
1789057779356,308,/notices,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 308 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,308,0,0
1789057779666,316,/courses-39,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 316 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,305,0,0
1789057779985,121,/login,200,OK,Thread Group 1-7,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,88,0,0
1789057779985,88,/login-0,303,See Other,Thread Group 1-7,text,true,,514,522,1,1,http://103.94.135.91:8080/login,88,0,0
1789057780074,32,/login-1,200,OK,Thread Group 1-7,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,22,0,0
1789057780108,29,/api/download/256-56,200,OK,Thread Group 1-7,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
1789057781317,30,/,200,OK,Thread Group 1-8,text,true,,2434,352,1,1,http://103.94.135.91:8080/,30,0,10
1789057781348,469,/notices,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 469 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,469,0,0
1789057781818,187,/courses-39,200,OK,Thread Group 1-8,text,true,,44407,403,1,1,http://103.94.135.91:8080/courses,178,0,0
1789057782007,91,/login,200,OK,Thread Group 1-8,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,62,0,0
1789057782007,62,/login-0,303,See Other,Thread Group 1-8,text,true,,514,522,1,1,http://103.94.135.91:8080/login,62,0,0
1789057782070,28,/login-1,200,OK,Thread Group 1-8,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,16,0,0
